company_name,plan_name,special_terms,rate_type,term_value,price_kwh500,price_kwh1000,price_kwh2000,fact_sheet,minimum_usage
FRONTIER UTILITIES,Frontier Power Saver 6,This offer is for new customers only who enroll through the Power to Choose website.,Fixed,6,12.5,12.1,11.9,https://eflviewer.frontierutilities.com/eflviewer.aspx?lang=EN&prodcode=FPOWSVR06&tdspcode=ONCOR_ELEC,False
RELIANT,Reliant Power On 12 Plan,This offer is for new customers only who enroll through Power to Choose,Fixed,12,16.8,15.9,15.4,https://www.reliant.com/defl/R1F00136033198A.pdf,False
BRANCH ENERGY (TEXAS) LLC,Branch Fixed 12 -- Free Home Energy Audit,"Heads up, this is a special rate only available to the savvy shoppers on Power to Choose. To guarantee you receive this rate, please click through to our website using the Sign Up button.  At Branch Energy our mission is to make the right thing and the easy thing, the same thing. That means that Branch is a great choice for your wallet and for the planet. Enjoy a low, fixed rate on energy that comes from 100% renewable sources and customer service that *actually* cares. Oh, and we plant a tree on your behalf for every month that you’re a Branch customer so you can brag to your friends about how you’re reforesting Texas one tree at a time.",Fixed,12,15.6,15.2,15.0,https://assets.oak.phloem.io/docs/8c608ae9-c0ce-40ef-a51d-9638332c0f24/html,False
RELIANT,Reliant Power on 6,This offer is for new customers only who enroll through Power to Choose,Fixed,6,16.4,15.5,15.0,https://www.reliant.com/defl/R1F00131737899A.pdf,False
CHARIOT ENERGY,Chariot Choice 12,"Sign-up today and receive regret-free 100% clean renewable energy at prices competitive to traditional power.  We’re committed to providing our customers transparency, simplicity and clean energy backed by world class customer experience.",Fixed,12,15.3,14.8,14.6,https://signup.chariotenergy.com//Home/EFl?productId=32808,False
CHARIOT ENERGY,Chariot Choice 6,"Sign-up today and receive regret-free 100% clean renewable energy at prices competitive to traditional power.  We’re committed to providing our customers transparency, simplicity and clean energy backed by world class customer experience.",Fixed,6,14.4,13.9,13.7,https://signup.chariotenergy.com//Home/EFl?productId=32803,False
Discount Power,Saver 6,"Electronic Billing and Auto payment via bank draft, credit card, or debit card available. This offer is for new customers only who enroll through Power to Choose or by using special promo code; Promo Code Required: WQ4135",Fixed,6,14.6,14.2,13.9,https://www.discountpowertx.com/defl/M1F00131742703A.pdf,False
Ranchero Power,🌵Smart & Fixed - 8,"Not available online, please contact our Customer Care team to claim this product at 1.888.204.3202.",Fixed,8,13.3,12.4,11.9,https://bit.ly/49tSSnF,False
BKV Energy,Daisy Green 12,This offer is for new customers only who enroll through the Power to Choose website.,Fixed,12,14.1,13.6,13.4,https://signup.bkvenergy.com/Home/EFL?productCode=RN12000072,False
Octopus Energy,Octo 12 with Electric Vehicle (EV) Connected,"An energy plan that combines technology and green energy! Sign up and connect your qualifying electric vehicle (EV) to our Intelligent Octopus feature through our App for a lower Octopus Energy Charge. Qualifying EVs include: BMW, Tesla, Audi, Mini Cooper, Volkswagen, Porsche, Ford, and Jaguar. If no qualifying EV is connected within 14 days of enrollment, then the unconnected EV (or smart thermostat) fee shall apply. Please review to the Electricity Facts Label for additional details (default energy charge is emphasized in bold). More information on Intelligent Octopus terms and conditions can be found at https://octopusenergy.com/documents/intelligent-octopus-en.pdf. Curious if you qualify for the discounted rate, call one of our Energy Specials at (833) 628-6888!",Fixed,12,14.7,13.2,12.5,https://octopusenergy.com/efl?id=175&service-provider=ONCOR&lang=en,False
